Unit	F	f_feminin	score_feminin	f_manuel	score_manuel	f_masculin	score_masculin
莫不是	7	3	-0.1857	0	-0.6621	4	0.6137
特	7	6	1.5589	0	-0.6621	1	-0.7136
大惊	7	4	0.4584	0	-0.6621	3	0.2797
尾巴	7	6	1.5589	0	-0.6621	1	-0.7136
杀	7	4	0.4584	0	-0.6621	3	0.2797
仍	7	1	-0.9075	0	-0.6621	6	1.8781
点头	7	7	2.5724	0	-0.6621	0	-1.43
前方	7	4	0.4584	0	-0.6621	3	0.2797
多	7	4	0.4584	0	-0.6621	3	0.2797
哎哟	7	4	0.4584	0	-0.6621	3	0.2797
师妹	7	7	2.5724	0	-0.6621	0	-1.43
孙去	7	2	-0.4458	0	-0.6621	5	1.1297
村舍	7	3	-0.1857	0	-0.6621	4	0.6137
合十	7	3	-0.1857	0	-0.6621	4	0.6137
东土	7	4	0.4584	0	-0.6621	3	0.2797
时	7	1	-0.9075	0	-0.6621	6	1.8781
进来	7	3	-0.1857	0	-0.6621	4	0.6137
三日	7	6	1.5589	0	-0.6621	1	-0.7136
之后	7	4	0.4584	0	-0.6621	3	0.2797
跑	7	3	-0.1857	0	-0.6621	4	0.6137
随后	7	5	0.8956	0	-0.6621	2	-0.3234
阿弥陀佛	7	5	0.8956	0	-0.6621	2	-0.3234
哼	7	1	-0.9075	0	-0.6621	6	1.8781
则	7	5	0.8956	0	-0.6621	2	-0.3234
推辞	7	4	0.4584	0	-0.6621	3	0.2797
果然	7	4	0.4584	0	-0.6621	3	0.2797
娇嗔	7	7	2.5724	0	-0.6621	0	-1.43
行李	7	1	-0.9075	0	-0.6621	6	1.8781
一个个	7	2	-0.4458	0	-0.6621	5	1.1297
三藏	7	2	-0.4458	0	-0.6621	5	1.1297
观看	7	5	0.8956	0	-0.6621	2	-0.3234
回头	7	3	-0.1857	0	-0.6621	4	0.6137
啐	7	7	2.5724	0	-0.6621	0	-1.43
驿丞	7	1	-0.9075	0	-0.6621	6	1.8781
自	7	2	-0.4458	0	-0.6621	5	1.1297
起	7	1	-0.9075	0	-0.6621	6	1.8781
谢	7	3	-0.1857	0	-0.6621	4	0.6137
一片	7	3	-0.1857	0	-0.6621	4	0.6137
上马	7	6	1.5589	0	-0.6621	1	-0.7136
十分	7	4	0.4584	0	-0.6621	3	0.2797
破	7	1	-0.9075	0	-0.6621	6	1.8781
那女	7	7	2.5724	0	-0.6621	0	-1.43
石门	7	4	0.4584	0	-0.6621	3	0.2797
亭子	7	1	-0.9075	0	-0.6621	6	1.8781
用	7	2	-0.4458	0	-0.6621	5	1.1297
门外	7	3	-0.1857	0	-0.6621	4	0.6137
头	7	2	-0.4458	0	-0.6621	5	1.1297
濯	7	4	0.4584	0	-0.6621	3	0.2797
垢	7	4	0.4584	0	-0.6621	3	0.2797
只有	7	2	-0.4458	0	-0.6621	5	1.1297
跳出	7	0	-1.7043	0	-0.6621	7	2.9806
光明	7	0	-1.7043	0	-0.6621	7	2.9806
贪恋	7	0	-1.7043	0	-0.6621	7	2.9806
戒律	7	0	-1.7043	0	-0.6621	7	2.9806
善哉	6	0	-1.4608	6	4.2514	0	-1.2257
唐僧道	6	0	-1.4608	6	4.2514	0	-1.2257
猴头	6	4	0.654	2	0.4762	0	-1.2257
沙僧说	6	0	-1.4608	6	4.2514	0	-1.2257
行者问	6	0	-1.4608	6	4.2514	0	-1.2257
不一会儿	6	0	-1.4608	5	2.8418	1	-0.5625
三藏道	6	0	-1.4608	6	4.2514	0	-1.2257
太师	6	5	1.2513	1	-0.1766	0	-1.2257
这样	6	3	0.2875	1	-0.1766	2	-0.225
